OTU ID	A1a	A1b	A1c	A2a	A2b	A2c	A3a	A3b	A3c	A4a	A4b	A4c	A5a	A5b	A5c	B1a	B1b	B1c	B2a	B2b	B2c	B3a	B3b	B3c	C1a	C1b	C1c	C2a	C2b	C2c	C3a	C3b	C3c	C4a	C4b	C4c	C5a	C5b	C5c	ck1a	ck1b	ck1c	ck2a	ck2b	ck2c	ck3a	ck3b	ck4a	ck4b	ck4c	ck5a	ck5b	ck5c	D10	D11	D12	D1	D2	D3	D4	D5	D6	D7	D8	D9
OTU3	141	76	97	285	271	181	95	45	86	76	53	55	22	41	21	38	41	38	85	63	76	80	72	78	723	680	782	255	271	249	235	324	258	244	181	189	298	415	361	380	264	202	203	172	281	43	33	186	228	226	362	215	231	25	25	22	29	23	28	37	26	26	33	37	31
OTU1	291	173	201	73	71	60	179	104	168	303	289	189	28	36	34	105	139	134	298	232	259	105	71	81	400	187	358	215	196	260	170	183	235	1056	585	687	174	250	281	12	8	10	45	48	51	54	52	25	25	14	11	10	8	33	34	35	51	42	54	53	56	28	39	38	37
OTU82	0	0	0	2	3	2	6	4	4	0	0	1	1	1	1	30	23	28	14	14	8	20	14	16	6	8	8	4	3	4	6	5	6	32	25	19	21	27	26	0	1	0	1	2	0	0	0	18	10	7	1	2	2	759	707	727	761	1028	751	866	701	750	630	592	593
OTU9	158	166	178	264	187	174	104	133	99	83	110	86	148	183	152	261	242	287	152	126	134	152	151	147	132	164	144	123	138	115	118	116	90	169	177	175	92	70	78	96	145	115	115	136	177	121	144	77	86	120	148	164	151	115	121	114	94	87	97	89	106	130	115	120	121
OTU2	151	156	142	549	549	376	365	202	268	412	309	233	357	653	434	91	103	136	237	199	239	191	251	236	47	62	48	93	90	63	53	47	57	86	73	51	73	70	85	32	61	90	5	6	5	3	4	7	7	16	16	17	18	13	13	10	36	27	32	34	26	12	19	22	16
OTU4	29	52	51	53	44	54	35	33	28	24	31	21	22	46	33	200	246	255	157	162	187	60	49	55	87	108	89	71	62	53	34	24	39	83	111	111	213	161	165	114	204	232	336	363	435	197	275	215	243	284	334	465	453	0	0	0	0	0	0	0	0	0	0	0	0
OTU11	136	70	92	67	70	42	15	15	19	64	41	47	7	7	7	200	245	238	111	112	112	199	191	200	281	282	285	275	325	298	102	149	131	232	180	199	242	387	321	71	75	70	54	56	95	36	31	85	94	98	117	104	91	17	16	16	18	19	19	20	16	16	18	17	19
OTU7	129	127	128	156	149	135	89	56	66	123	73	101	41	89	31	118	107	109	71	52	67	96	84	72	100	260	107	82	74	89	62	65	70	112	121	112	93	126	95	152	108	101	165	142	133	234	85	172	185	132	281	216	217	33	33	29	34	24	39	37	37	30	40	42	36
OTU16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	36	79	41	142	109	227	132	50	163	161	99	100	53	54	74	0	0	0	0	0	0	1	0	0	0	1	0	0	0	264	251	272	300	319	251	275	285	316	266	252	265
OTU64	3	3	2	4	8	4	2	2	3	1	2	1	4	4	6	195	172	208	182	191	214	76	94	91	91	35	92	187	226	158	114	146	74	100	95	107	192	157	201	9	10	7	5	6	8	3	5	4	5	3	18	14	18	35	34	30	32	38	34	37	26	36	32	32	32
