samples	group	SQR	sterile
A1a	NS	none	non-sterilized
A1b	NS	none	non-sterilized
A1c	NS	none	non-sterilized
A2a	NS	none	non-sterilized
A2b	NS	none	non-sterilized
A2c	NS	none	non-sterilized
A3a	NS	none	non-sterilized
A3b	NS	none	non-sterilized
A3c	NS	none	non-sterilized
A4a	NS	none	non-sterilized
A4b	NS	none	non-sterilized
A4c	NS	none	non-sterilized
A5a	NS	none	non-sterilized
A5b	NS	none	non-sterilized
A5c	NS	none	non-sterilized
B1a	SS	none	sterilized
B1b	SS	none	sterilized
B1c	SS	none	sterilized
B2a	SS	none	sterilized
B2b	SS	none	sterilized
B2c	SS	none	sterilized
B3a	SS	none	sterilized
B3b	SS	none	sterilized
B3c	SS	none	sterilized
C1a	SS_SQR9	SQR9	sterilized
C1b	SS_SQR9	SQR9	sterilized
C1c	SS_SQR9	SQR9	sterilized
C2a	SS_SQR9	SQR9	sterilized
C2b	SS_SQR9	SQR9	sterilized
C2c	SS_SQR9	SQR9	sterilized
C3a	SS_SQR9	SQR9	sterilized
C3b	SS_SQR9	SQR9	sterilized
C3c	SS_SQR9	SQR9	sterilized
C4a	SS_SQR9	SQR9	sterilized
C4b	SS_SQR9	SQR9	sterilized
C4c	SS_SQR9	SQR9	sterilized
C5a	SS_SQR9	SQR9	sterilized
C5b	SS_SQR9	SQR9	sterilized
C5c	SS_SQR9	SQR9	sterilized
ck1a	NS_1w	none	non-sterilized
ck1b	NS_1w	none	non-sterilized
ck1c	NS_1w	none	non-sterilized
ck2a	NS_1w	none	non-sterilized
ck2b	NS_1w	none	non-sterilized
ck2c	NS_1w	none	non-sterilized
ck3a	NS_1w	none	non-sterilized
ck3b	NS_1w	none	non-sterilized
ck4a	NS_1w	none	non-sterilized
ck4b	NS_1w	none	non-sterilized
ck4c	NS_1w	none	non-sterilized
ck5a	NS_1w	none	non-sterilized
ck5b	NS_1w	none	non-sterilized
ck5c	NS_1w	none	non-sterilized
D10	NS_SQR9	SQR9	non-sterilized
D11	NS_SQR9	SQR9	non-sterilized
D12	NS_SQR9	SQR9	non-sterilized
D1	NS_SQR9	SQR9	non-sterilized
D2	NS_SQR9	SQR9	non-sterilized
D3	NS_SQR9	SQR9	non-sterilized
D4	NS_SQR9	SQR9	non-sterilized
D5	NS_SQR9	SQR9	non-sterilized
D6	NS_SQR9	SQR9	non-sterilized
D7	NS_SQR9	SQR9	non-sterilized
D8	NS_SQR9	SQR9	non-sterilized
D9	NS_SQR9	SQR9	non-sterilized
