samples	group	SQR	sterile
a1	NS	none	non-sterilized
A1	NS	none	non-sterilized
a2	NS	none	non-sterilized
A2	NS	none	non-sterilized
a3	NS	none	non-sterilized
A3	NS	none	non-sterilized
a4	NS	none	non-sterilized
a5	NS	none	non-sterilized
a6	NS	none	non-sterilized
b1	SS	none	sterilized
B1	SS	none	sterilized
b2	SS	none	sterilized
B2	SS	none	sterilized
b3	SS	none	sterilized
B3	SS	none	sterilized
b4	SS	none	sterilized
b5	SS	none	sterilized
b6	SS	none	sterilized
c1	SS_SQR9	SQR9	sterilized
C1	SS_SQR9	SQR9	sterilized
c2	SS_SQR9	SQR9	sterilized
C2	SS_SQR9	SQR9	sterilized
c3	SS_SQR9	SQR9	sterilized
C3	SS_SQR9	SQR9	sterilized
c4	SS_SQR9	SQR9	sterilized
c5	SS_SQR9	SQR9	sterilized
c6	SS_SQR9	SQR9	sterilized
ck1	NS_1w	none	non-sterilized
CK1	NS_1w	none	non-sterilized
ck2	NS_1w	none	non-sterilized
CK2	NS_1w	none	non-sterilized
ck3	NS_1w	none	non-sterilized
CK3	NS_1w	none	non-sterilized
ck4	NS_1w	none	non-sterilized
CK4	NS_1w	none	non-sterilized
ck5	NS_1w	none	non-sterilized
CK5	NS_1w	none	non-sterilized
ck6	NS_1w	none	non-sterilized
CK6	NS_1w	none	non-sterilized
d1	NS_SQR9	SQR9	non-sterilized
D1	NS_SQR9	SQR9	non-sterilized
d2	NS_SQR9	SQR9	non-sterilized
D2	NS_SQR9	SQR9	non-sterilized
d3	NS_SQR9	SQR9	non-sterilized
D3	NS_SQR9	SQR9	non-sterilized
d4	NS_SQR9	SQR9	non-sterilized
d5	NS_SQR9	SQR9	non-sterilized
d6	NS_SQR9	SQR9	non-sterilized
