Sample ID	a1	A1	a2	A2	a3	A3	a4	a5	a6	b1	B1	b2	B2	b3	B3	b4	b5	b6	c1	C1	c2	C2	c3	C3	c4	c5	c6	ck1	CK1	ck2	CK2	ck3	CK3	ck4	CK4	ck5	CK5	ck6	CK6	d1	D1	d2	D2	d3	D3	d4	d5	d6
Uniq95	11	19	27	11	9	12	12	13	3	1	32	1	25	2	19	2	40	7	3	2	4	7	4	31	3	0	1	0	16	1	13	0	41	0	15	0	3	1	9	1	1	1	0	1	0	1	2	2
Uniq233	36	0	14	0	15	0	25	18	32	30	0	9	0	21	0	18	13	18	2	0	13	0	22	0	11	15	6	44	0	36	0	41	0	43	0	41	0	29	0	18	0	3	0	3	0	5	10	14
Uniq182	10	0	5	0	11	0	13	10	9	7	0	7	0	7	0	14	12	9	5	0	6	0	3	0	3	5	7	8	0	12	0	8	0	8	0	10	0	11	0	7	0	5	0	5	0	4	3	8
Uniq407	11	0	20	0	19	0	10	19	11	5	0	10	0	7	0	17	4	8	10	0	4	0	2	0	2	1	1	13	0	9	0	15	0	15	0	14	0	20	0	4	0	4	0	8	0	4	5	7
Uniq983	6	0	6	0	10	0	5	8	3	1	0	1	0	0	0	1	2	2	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	3	0	1	0	1
Uniq1464	4	0	6	0	8	0	2	4	2	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	1	1	1
Uniq62	124	0	35	0	44	0	72	68	104	84	0	27	0	60	0	56	40	71	7	0	38	0	67	0	33	53	19	131	0	124	0	128	0	140	0	131	0	92	0	56	0	10	0	12	0	14	34	41
Uniq1362	2	0	2	0	2	0	2	3	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	3	0	4	0	2	0	3	0	2	0	1	0	1	0	1	0	1	2	2
Uniq1938	4	0	4	0	4	0	7	5	7	1	0	1	0	2	0	1	1	1	0	0	1	0	0	0	2	1	0	4	0	2	0	2	0	2	0	2	0	4	0	1	0	1	0	1	0	3	1	3
Uniq236	33	0	9	0	11	0	23	21	27	27	0	6	0	16	0	20	12	19	2	0	10	0	19	0	9	14	4	35	0	34	0	35	0	38	0	40	0	25	0	17	0	3	0	4	0	5	11	15
Uniq119	63	0	19	0	21	0	44	34	55	42	0	12	0	29	0	31	22	39	4	0	21	0	38	0	16	26	9	63	0	67	0	70	0	76	0	64	0	45	0	35	0	5	0	6	0	8	16	25
Uniq846	4	0	4	0	4	0	4	4	4	3	0	3	0	3	0	4	4	4	1	0	2	0	1	0	1	1	2	5	0	5	0	3	0	3	0	2	0	2	0	2	0	1	0	2	0	2	2	3
Uniq2122	4	0	2	0	2	0	1	2	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	2	0	2	0	1	0	2	0	2	0	1	0	2	0	1	0	1	0	1
Uniq298	18	0	30	0	33	0	14	26	14	3	0	5	0	1	0	5	5	5	3	0	3	0	1	0	5	1	2	3	0	5	0	2	0	2	0	3	0	2	0	2	0	5	0	5	0	3	2	4
Uniq1438	2	0	2	0	3	0	3	1	3	2	0	1	0	0	0	2	3	1	1	0	2	0	0	0	2	0	2	3	0	3	0	0	0	0	0	1	0	1	0	2	0	2	0	1	0	1	2	2
Uniq591	11	0	11	0	18	0	5	14	7	2	0	3	0	0	0	3	3	3	2	0	1	0	0	0	3	0	0	1	0	2	0	2	0	1	0	1	0	1	0	1	0	2	0	4	0	1	0	3
Uniq397	12	0	17	0	24	0	11	16	12	6	0	9	0	8	0	18	6	9	8	0	5	0	2	0	2	1	2	11	0	10	0	14	0	13	0	14	0	18	0	3	0	4	0	8	0	5	4	8
Uniq459	8	0	8	0	19	0	11	12	11	12	0	11	0	8	0	17	13	14	2	0	4	0	3	0	4	5	4	8	0	12	0	6	0	9	0	6	0	8	0	6	0	6	0	7	0	3	7	11
Uniq140	18	0	13	0	21	0	15	18	18	10	0	10	0	10	0	23	20	14	7	0	9	0	4	0	5	7	12	16	0	19	0	16	0	22	0	16	0	20	0	11	0	10	0	7	0	6	8	15
Uniq2773	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Uniq1177	4	0	7	0	6	0	3	5	3	1	0	3	0	4	0	6	1	2	3	0	2	0	1	0	1	1	0	6	0	2	0	4	0	4	0	4	0	6	0	1	0	2	0	2	0	3	2	3
Uniq666	7	0	9	0	14	0	6	12	2	1	0	3	0	0	0	1	1	2	0	0	0	0	1	0	2	0	1	1	0	2	0	0	0	1	0	1	0	2	0	0	0	1	0	2	0	1	0	2
Uniq1998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Uniq53	159	0	44	0	65	0	100	90	140	121	0	33	0	77	0	78	56	100	10	0	54	0	81	0	41	76	25	173	0	170	0	168	0	176	0	170	0	123	0	86	0	15	0	20	0	17	42	59
Uniq1240	5	0	7	0	4	0	6	6	2	1	0	1	0	0	0	2	1	1	1	0	2	0	1	0	0	1	0	5	0	4	0	5	0	6	0	4	0	9	0	4	0	2	0	2	0	2	3	4
Uniq180	54	0	16	0	20	0	36	32	44	42	0	8	0	27	0	25	18	30	2	0	17	0	30	0	16	22	8	54	0	54	0	55	0	55	0	57	0	41	0	25	0	4	0	6	0	6	14	18
Uniq59	130	0	37	0	42	0	73	70	108	91	0	23	0	59	0	61	48	69	8	0	41	0	63	0	34	50	16	124	0	121	0	136	0	142	0	132	0	97	0	60	0	15	0	14	0	16	38	44
Uniq534	7	0	6	0	13	0	9	7	5	7	0	7	0	5	0	13	9	7	2	0	3	0	2	0	2	2	3	6	0	7	0	5	0	4	0	4	0	4	0	3	0	4	0	2	0	3	2	7
Uniq142	13	0	14	0	26	0	18	17	18	11	0	9	0	11	0	23	20	15	7	0	11	0	4	0	7	9	10	16	0	22	0	15	0	17	0	19	0	21	0	11	0	8	0	6	0	6	6	17
Uniq2946	2	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0
Uniq160	58	0	13	0	21	0	34	33	42	41	0	11	0	28	0	28	18	33	3	0	19	0	29	0	15	22	9	64	0	55	0	64	0	64	0	64	0	42	0	29	0	5	0	6	0	6	13	23
Uniq475	12	0	16	0	19	0	10	18	7	2	0	4	0	0	0	4	2	2	3	0	1	0	1	0	3	0	1	2	0	4	0	2	0	2	0	1	0	1	0	2	0	3	0	3	0	2	2	2
Uniq1370	3	0	2	0	4	0	4	6	3	2	0	2	0	2	0	3	3	1	2	0	1	0	0	0	1	1	1	2	0	2	0	2	0	3	0	2	0	2	0	3	0	1	0	2	0	2	1	4
Uniq538	7	0	9	0	12	0	5	11	8	4	0	5	0	5	0	12	2	5	5	0	2	0	3	0	2	0	1	8	0	6	0	11	0	8	0	9	0	14	0	1	0	3	0	6	0	5	2	4
Uniq58	142	0	45	0	48	0	81	70	116	96	0	24	0	70	0	64	47	80	9	0	41	0	72	0	33	56	20	148	0	134	0	147	0	151	0	150	0	104	0	70	0	10	0	14	0	13	37	57
Uniq131	55	0	20	0	16	0	35	29	42	44	0	11	0	26	0	28	19	32	4	0	17	0	31	0	15	23	9	58	0	54	0	60	0	68	0	59	0	41	0	33	0	4	0	7	0	5	16	24
Uniq101	79	0	21	0	36	0	48	46	68	53	0	15	0	39	0	39	29	44	6	0	31	0	42	0	23	29	12	80	0	79	0	82	0	83	0	90	0	59	0	43	0	8	0	10	0	9	21	33
Uniq900	4	0	5	0	9	0	2	5	5	1	0	3	0	3	0	5	2	2	2	0	1	0	1	0	1	0	0	4	0	3	0	5	0	4	0	4	0	5	0	1	0	2	0	2	0	2	2	3
