Name	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"	No. module	Zi	Pi
Uniq95	34	2.35797638113329	112	0.171419799023363	0.978609625668449	0	0.633074070599145	0
Uniq233	30	3.4059702892534	68	8.77470389234692e-11	0.852873563218391	8	0.525336529395949	0
Uniq407	2	4794	55562	1.79071331648996e-05	0	7	-1.01512945227594	0.5
Uniq62	28	2.89650827210731	55	8.20954420474776e-11	0.854497354497355	8	0.181479891973146	0
Uniq236	27	1.88173069442557	44	8.04728201602922e-11	0.886039886039886	8	0.00955157326174479	0
Uniq119	31	5.70766536382033	95	8.83082052000459e-11	0.804301075268817	8	0.69726484810735	0
Uniq846	1	0	0	1.5552583704429e-190	0	17	0	0
Uniq1438	2	298	1687	9.62969603676376e-07	0	4	-0.232495277487639	0
Uniq459	1	0	0	4.64192800244702e-07	0	2	-0.560455555283247	0
Uniq53	33	6.03161869943742	99	9.42703265536719e-11	0.8125	8	1.04112148553015	0
Uniq1240	1	0	0	6.79775439098245e-06	0	1	-0.915260586222681	0
Uniq180	31	3.63999847755404	70	9.05471687096522e-11	0.849462365591398	8	0.69726484810735	0
Uniq59	31	5.07611368836366	93	8.88441450203276e-11	0.810752688172043	8	0.69726484810735	0
Uniq160	30	5.69217915884089	96	8.5302265389278e-11	0.790804597701149	8	0.525336529395949	0
Uniq1370	2	298	1687	9.62969603676376e-07	0	4	-0.232495277487639	0
Uniq58	30	5.69217915884089	96	8.5302265389278e-11	0.790804597701149	8	0.525336529395949	0
Uniq131	31	5.53995850777723	93	8.84459642321171e-11	0.808602150537634	8	0.69726484810735	0
Uniq101	29	2.75035884989583	60	8.55373147343245e-11	0.864532019704434	8	0.353408210684547	0
Uniq900	1	0	0	0.000183442226153872	0	1	-0.915260586222681	0
Uniq303	23	2.05270934772015	35	6.70972378619793e-11	0.861660079051383	8	-0.67816170158386	0
Uniq1021	2	0	0	1.43477014324543e-08	1	2	-0.192656597128616	0
Uniq1909	2	1332.76024361697	7584	0.000183671857778221	0	4	-0.88016069334606	0.5
Uniq107	28	1.96411152022745	45	8.34197877727725e-11	0.888888888888889	8	0.181479891973146	0
Uniq611	1	0	0	5.23123888095656e-07	0	4	-0.88016069334606	0
Uniq220	27	3.132876765504	55	7.90085792759064e-11	0.851851851851852	8	0.00955157326174479	0
Uniq113	31	5.07611368836366	93	8.88441450203276e-11	0.810752688172043	8	0.69726484810735	0
Uniq1793	1	0	0	1.72995343919012e-06	0	4	-0.88016069334606	0
Uniq109	32	5.24367435247604	97	9.16681380210116e-11	0.814516129032258	8	0.869193166818751	0
Uniq645	4	888	4365	1.43734377434278e-08	0.333333333333333	2	0.542941319180646	0
Uniq112	34	2.35797638113329	112	0.171419799023363	0.978609625668449	0	0.633074070599145	0
Uniq1003	2	298	1457	1.55105118137093e-05	0	2	-0.192656597128616	0
Uniq2176	1	0	0	4.6460967897448e-07	0	2	-0.560455555283247	0
Uniq178	30	4.64743947264277	85	8.61424916450182e-11	0.816091954022989	8	0.525336529395949	0
Uniq241	29	3.51470096954015	61	8.46076284400144e-11	0.849753694581281	8	0.353408210684547	0
Uniq115	30	10.1971184986292	111	8.42649122935038e-11	0.779310344827586	8	0.525336529395949	0
Uniq193	4	2974.06666666665	36441	4.82190373846206e-10	0.166666666666667	7	1.09321633322024	0
Uniq213	1	0	0	2.04066598413888e-05	0	1	-0.915260586222681	0
Uniq187	35	1182.35797638113	3268	0.171568871963562	0.922689075630252	0	0.633074070599145	0.0555102040816327
Uniq243	18	0.498587929922263	13	5.38780650924919e-11	0.915032679738562	8	-1.53780329514087	0
Uniq82	4	9	10	9.4283936337308e-132	0.333333333333333	9	1.35680105059994	0
Uniq269	39	2002.67606208079	6308	0.172484270098691	0.744939271255061	0	0.840801500014489	0.0973044049967127
Uniq3314	11	0.383176892144545	10	0.000748289893486208	0.963636363636364	1	0.267537709818938	0
Uniq239	33	0.726859735242546	27	0.167280409084593	0.988636363636364	0	0.563831594127363	0
Uniq66	3	8	9	7.57955876628096e-132	0.333333333333333	9	0.603022689155527	0
Uniq192	32	9.7149398975032	110	9.16067000149178e-11	0.814516129032258	8	0.869193166818751	0
Uniq159	33	2.25277401953494	109	0.166823707918029	0.982954545454545	0	0.563831594127363	0
Uniq525	2	3	3	2.17555763737747e-157	0	13	0.5	0
Uniq1655	4	281.652220759763	1960	3.66821619845626e-05	0.666666666666667	2	0.542941319180646	0
Uniq118	34	2.35797638113329	112	0.171419799023363	0.978609625668449	0	0.633074070599145	0
Uniq1675	1	0	0	1.54966444771035e-05	0	2	-0.560455555283247	0
Uniq200	35	840.629897473855	5408	0.171897593902521	0.926050420168067	0	0.633074070599145	0.0555102040816327
Uniq128	25	1.34567055890892	33	7.5062367687468e-11	0.903333333333333	8	-0.334305064161058	0
Uniq153	6	304.25	7025	8.38309178312745e-10	0.266666666666667	15	0.445668811624925	0
Uniq210	30	10.0947515577648	106	8.47429968189938e-11	0.790804597701149	8	0.525336529395949	0
Uniq620	14	0.152963702963703	4	4.14023972424327e-11	0.956043956043956	8	-2.22551656998647	0
Uniq96	26	7.13302426270999	74	7.38707911750412e-11	0.809230769230769	8	-0.162376745449657	0
Uniq2306	8	1778.9510239508	7544	0.000179544201767155	0.214285714285714	1	-0.0873017789935479	0
Uniq1188	1	0	0	1.54966444771035e-05	0	2	-0.560455555283247	0
Uniq147	31	1.91390684044565	95	0.157181092002762	0.987096774193548	0	0.4253466411838	0
Uniq87	31	10.4165373984428	113	8.74592645459756e-11	0.791397849462366	8	0.69726484810735	0
Uniq184	25	1.94354522638111	40	7.38202947781228e-11	0.876666666666667	8	-0.334305064161058	0
Uniq166	34	43.2627040119004	573	0.167415947683143	0.928698752228164	0	0.633074070599145	0
Uniq163	5	937.966666666672	12903	1.49437196254951e-11	0.2	7	1.79599826171897	0
Uniq91	2	6	6	9.77330366118231e-159	0	12	0.707106781186548	0
