ID	c1	C1	c2	C2	c3	C3	c4	c5	c6	d1	D1	d2	D2	d3	D3	d4	d5	d6
Uniq95	3	2	4	7	4	31	3	0	1	1	1	1	0	1	0	1	2	2
Uniq233	2	0	13	0	22	0	11	15	6	18	0	3	0	3	0	5	10	14
Uniq182	5	0	6	0	3	0	3	5	7	7	0	5	0	5	0	4	3	8
Uniq407	10	0	4	0	2	0	2	1	1	4	0	4	0	8	0	4	5	7
Uniq983	1	0	1	0	0	0	1	0	0	1	0	1	0	3	0	1	0	1
Uniq1464	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	1	1
Uniq62	7	0	38	0	67	0	33	53	19	56	0	10	0	12	0	14	34	41
Uniq1362	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	2	2
Uniq1938	0	0	1	0	0	0	2	1	0	1	0	1	0	1	0	3	1	3
Uniq236	2	0	10	0	19	0	9	14	4	17	0	3	0	4	0	5	11	15
Uniq119	4	0	21	0	38	0	16	26	9	35	0	5	0	6	0	8	16	25
Uniq846	1	0	2	0	1	0	1	1	2	2	0	1	0	2	0	2	2	3
Uniq2122	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	1
Uniq298	3	0	3	0	1	0	5	1	2	2	0	5	0	5	0	3	2	4
Uniq1438	1	0	2	0	0	0	2	0	2	2	0	2	0	1	0	1	2	2
Uniq591	2	0	1	0	0	0	3	0	0	1	0	2	0	4	0	1	0	3
Uniq397	8	0	5	0	2	0	2	1	2	3	0	4	0	8	0	5	4	8
Uniq459	2	0	4	0	3	0	4	5	4	6	0	6	0	7	0	3	7	11
Uniq140	7	0	9	0	4	0	5	7	12	11	0	10	0	7	0	6	8	15
Uniq2773	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Uniq1177	3	0	2	0	1	0	1	1	0	1	0	2	0	2	0	3	2	3
Uniq666	0	0	0	0	1	0	2	0	1	0	0	1	0	2	0	1	0	2
Uniq1998	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Uniq53	10	0	54	0	81	0	41	76	25	86	0	15	0	20	0	17	42	59
Uniq1240	1	0	2	0	1	0	0	1	0	4	0	2	0	2	0	2	3	4
Uniq180	2	0	17	0	30	0	16	22	8	25	0	4	0	6	0	6	14	18
Uniq59	8	0	41	0	63	0	34	50	16	60	0	15	0	14	0	16	38	44
Uniq534	2	0	3	0	2	0	2	2	3	3	0	4	0	2	0	3	2	7
Uniq142	7	0	11	0	4	0	7	9	10	11	0	8	0	6	0	6	6	17
Uniq2946	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Uniq160	3	0	19	0	29	0	15	22	9	29	0	5	0	6	0	6	13	23
Uniq475	3	0	1	0	1	0	3	0	1	2	0	3	0	3	0	2	2	2
Uniq1370	2	0	1	0	0	0	1	1	1	3	0	1	0	2	0	2	1	4
Uniq538	5	0	2	0	3	0	2	0	1	1	0	3	0	6	0	5	2	4
Uniq58	9	0	41	0	72	0	33	56	20	70	0	10	0	14	0	13	37	57
Uniq131	4	0	17	0	31	0	15	23	9	33	0	4	0	7	0	5	16	24
Uniq101	6	0	31	0	42	0	23	29	12	43	0	8	0	10	0	9	21	33
Uniq900	2	0	1	0	1	0	1	0	0	1	0	2	0	2	0	2	2	3
Uniq303	2	0	9	0	16	0	9	12	7	18	0	4	0	3	0	3	9	12
Uniq1021	1	0	2	0	1	0	1	1	0	4	0	4	0	5	0	4	3	7
Uniq2053	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	1	3
Uniq1909	1	0	1	0	1	0	1	0	0	1	0	4	0	1	0	1	3	2
Uniq2695	1	0	1	0	0	0	0	0	0	3	0	1	0	2	0	1	1	3
Uniq1749	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
Uniq107	4	0	26	0	37	0	21	30	10	34	0	7	0	8	0	7	19	31
Uniq1717	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
Uniq650	2	0	1	0	1	0	2	1	0	1	0	3	0	4	0	2	1	2
Uniq611	2	0	2	0	2	0	1	1	0	4	0	3	0	2	0	2	4	7
Uniq1907	0	0	1	0	0	0	0	0	0	2	0	1	0	1	0	1	1	2
Uniq220	2	0	9	0	19	0	10	14	7	18	0	3	0	4	0	4	10	15
Uniq113	4	0	22	0	37	0	19	28	13	33	0	6	0	8	0	8	21	26
Uniq1793	1	0	1	1	1	0	4	3	0	0	0	0	0	1	0	1	3	1
Uniq1498	1	0	2	0	0	0	2	0	0	1	0	1	0	2	0	1	1	3
Uniq109	6	0	29	0	49	0	26	41	16	44	0	10	0	9	0	8	25	34
Uniq645	3	0	3	0	2	0	1	2	0	8	0	9	0	8	0	7	7	14
Uniq112	2	2	3	6	3	30	4	0	1	0	1	1	0	1	0	1	2	1
Uniq1003	1	0	1	0	0	0	1	0	0	1	0	1	0	2	0	1	1	1
Uniq4021	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uniq2176	2	0	1	0	1	0	1	1	0	8	0	3	0	7	0	5	3	9
Uniq178	4	0	19	0	27	0	14	22	8	26	0	4	0	6	0	5	12	19
Uniq241	3	0	19	0	27	0	16	24	9	33	0	5	0	5	0	5	14	21
Uniq2330	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	2
Uniq1108	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
Uniq115	5	0	24	0	39	0	18	28	9	41	0	5	0	8	0	6	17	25
Uniq231	7	0	9	0	2	0	5	7	8	9	0	7	0	11	0	8	8	15
Uniq1139	3	0	1	0	1	0	1	1	0	4	0	4	0	6	0	2	3	6
Uniq193	24	0	9	0	4	0	7	4	3	12	0	11	0	23	0	16	10	23
Uniq3878	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Uniq1043	1	0	1	0	1	0	1	0	0	0	0	1	0	2	0	1	0	1
Uniq213	5	0	8	0	2	0	4	4	8	4	0	6	0	5	0	4	4	13
Uniq187	3	2	2	3	3	16	3	0	1	0	1	1	0	1	0	1	1	1
Uniq656	5	0	1	0	1	0	2	1	0	1	0	2	0	6	0	4	2	4
Uniq243	3	0	12	0	19	0	11	16	5	18	0	2	0	3	0	6	11	18
Uniq255	5	0	7	0	3	0	5	5	6	9	0	6	0	6	0	6	7	13
Uniq82	12	0	21	0	4	0	11	14	21	20	0	13	0	15	0	12	12	37
Uniq4430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Uniq269	1	1	2	3	2	11	1	0	1	1	0	0	0	0	0	0	0	1
Uniq3314	2	1	4	1	2	0	3	7	0	3	0	4	0	1	0	1	0	3
Uniq586	0	0	2	0	0	0	6	2	0	1	0	36	0	16	0	2	0	2
Uniq1077	3	0	2	0	1	0	1	2	0	5	0	7	0	6	0	6	6	8
Uniq239	2	1	2	4	1	15	2	1	0	1	1	1	0	1	0	1	1	2
