Name	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"	No. module	Zi	Pi
Uniq95	32	48.3006455124107	5718	1.26134765492657e-08	0.798387096774194	7	0.840544993345015	0
Uniq233	32	0.745682033810592	24	0.160140988097796	0.951612903225806	3	-1.46059348668071	0
Uniq407	28	94.8218596461073	7325	0.000987078447242255	0.613756613756614	8	1.48754655152217	0.068877551020408
Uniq983	30	214.55731038054	19401	0.00178338628165992	0.928735632183908	2	1.06039451818988	0
Uniq62	34	0.906794462653096	29	0.169488038580241	0.948306595365419	3	0.730296743340352	0
Uniq236	32	0.779956227358979	25	0.160153916969058	0.949596774193548	3	-1.46059348668071	0
Uniq119	34	0.84144816284285	27	0.169771439311979	0.951871657754011	3	0.730296743340352	0
Uniq298	29	213.423244446474	19385	0.00175208377960934	0.960591133004926	2	0.990041420348439	0
Uniq591	30	214.55731038054	19401	0.00178338628165992	0.928735632183908	2	1.06039451818988	0
Uniq397	21	24.6856349586049	146	0.000466291321573134	0.676190476190476	8	0.736822123651168	0
Uniq459	5	141.976190476192	4891	1.27179096044056e-05	0.6	6	0.154906688920402	0
Uniq140	5	1036.78390404604	23528	0.000406956310921177	0.5	4	-0.536773746702582	0.32
Uniq1177	4	0	0	0.000455621439907969	1	8	-1.51535115996184	0.375
Uniq666	29	196.94637042781	18124	0.0017248644862854	0.899014778325123	2	0.990041420348439	0
Uniq53	34	0.906794462653096	29	0.169488038580241	0.948306595365419	3	0.730296743340352	0
Uniq1240	8	2.11802688742724	38	2.17296848381216e-06	0.75	1	-0.679100992292394	0
Uniq180	33	0.776870938991432	25	0.165109368428016	0.952651515151515	3	-0.36514837167018	0
Uniq59	33	0.811206227358979	26	0.164828666089541	0.950757575757576	3	-0.36514837167018	0
Uniq534	5	5.11666666666667	15	5.47967671105031e-07	0.5	6	0.154906688920402	0
Uniq142	7	469.294629422827	4438	3.15285887598986e-06	0.476190476190476	4	0.167741795844557	0
Uniq160	35	645.541586927023	15467	0.170084627917519	0.899159663865546	3	0.730296743340352	0.0555102040816327
Uniq475	30	214.55731038054	19401	0.00178338628165992	0.928735632183908	2	1.06039451818988	0
Uniq538	22	49.1093933630546	4839	0.000883295521017674	0.744588744588745	8	0.736822123651168	0.0867768595041321
Uniq58	33	0.811206227358979	26	0.164828666089541	0.950757575757576	3	-0.36514837167018	0
Uniq131	33	0.811145132539819	26	0.164837045870857	0.950757575757576	3	-0.36514837167018	0
Uniq101	35	642.979139619281	15464	0.170508533644202	0.904201680672269	3	0.730296743340352	0.0555102040816327
Uniq900	3	0	0	6.81233868401876e-05	1	8	-1.51535115996184	0
Uniq303	33	0.776870938991432	25	0.165109368428016	0.952651515151515	3	-0.36514837167018	0
Uniq1021	23	1621.47305144595	97849	1.05840154633909e-05	0.343873517786561	1	1.04136389620757	0
Uniq2053	3	0	0	0.000148195199895207	1	2	-0.83913912352911	0
Uniq1909	2	12	12	1.13222121442341e-164	0	5	0	0
Uniq2695	9	7348.28118983485	205719	0.000389630429921625	0.305555555555556	1	-0.679100992292394	0.197530864197531
Uniq1749	2	0	0	8.25304413336539e-05	1	2	-0.909492221370554	0
Uniq107	33	0.875600166752918	28	0.164549222118666	0.946969696969697	3	-0.36514837167018	0
Uniq650	29	213.423244446474	19385	0.00175208377960934	0.960591133004926	2	0.990041420348439	0
Uniq611	12	1.64608068368268	34	3.93664733390262e-06	0.818181818181818	1	-0.220310355359071	0
Uniq220	34	0.875600166752918	28	0.169631710223167	0.950089126559715	3	0.730296743340352	0
Uniq113	34	0.873645132539819	28	0.169623337344427	0.950089126559715	3	0.730296743340352	0
Uniq1498	2	2609.39061080982	87155	0.000383510084074105	0	0	-0.847480148444858	0.5
Uniq109	34	0.906794462653096	29	0.169470683618601	0.948306595365419	3	0.730296743340352	0
Uniq645	25	58.9321331580622	3728	7.25990056290319e-06	0.633333333333333	1	1.27075921467423	0
Uniq112	32	75.6979582354023	16671	1.26766627812367e-08	0.828629032258065	7	0.840544993345015	0
Uniq2176	1	0	0	7.67810754227938e-218	0	9	0	0
Uniq178	33	0.779956227358979	25	0.165100645780074	0.952651515151515	3	-0.36514837167018	0
Uniq241	34	0.875600166752918	28	0.169631710223167	0.950089126559715	3	0.730296743340352	0
Uniq115	31	0.776870938991432	25	0.154898618189034	0.946236559139785	3	-2.55603860169124	0
Uniq231	8	1432.85952380951	12242	1.27451047662341e-05	0.321428571428571	6	1.28351256534047	0
Uniq1139	22	81.979775854648	3622	6.02881189803501e-06	0.731601731601732	1	0.926666236974237	0
Uniq193	26	129.508331944344	9660	0.00094756072504159	0.683076923076923	8	1.23730507556517	0.0739644970414202
Uniq213	11	378.537586977038	11532	1.5233705478564e-05	0.436363636363636	4	1.10709585257408	0
Uniq187	22	37.2678519464605	5550	9.31971453483373e-09	0.891774891774892	7	-0.210136248336254	0
Uniq656	12	68.7202428932769	4787	0.00063433412282852	0.772727272727273	8	-0.514385256133834	0.152777777777778
Uniq243	33	0.875600166752918	28	0.164549222118666	0.946969696969697	3	-0.36514837167018	0
Uniq255	10	26.8833333333333	58	2.71575405031289e-06	0.333333333333333	6	2.03591648295385	0
Uniq82	12	1352.35290705992	20040	1.46136912163308e-05	0.348484848484849	4	1.34193436675645	0
Uniq269	32	15328.3824297004	560853	7.78003234820692e-08	0.778225806451613	7	0.735476869176888	0.060546875
Uniq3314	1	0	0	7.67810754227938e-218	0	10	0	0
Uniq1077	32	649.339804188123	32819	8.0890405755561e-06	0.487903225806452	1	2.07364282930754	0
Uniq239	30	45.6464206258182	5690	1.20012747045961e-08	0.816091954022989	7	0.630408745008761	0
Uniq66	10	366.632134418538	11853	1.44458203029717e-05	0.533333333333333	4	0.872257338391696	0
Uniq192	32	0.745682033810592	24	0.160140988097796	0.951612903225806	3	-1.46059348668071	0
Uniq159	30	45.6464206258182	5690	1.20012747045961e-08	0.816091954022989	7	0.630408745008761	0
Uniq525	30	143.209691516457	24978	0.00139242108402227	0.871264367816092	2	1.06039451818988	0
Uniq300	8	768.33571428572	19556	2.39363882767354e-05	0.285714285714286	6	1.28351256534047	0
Uniq483	3	1126.6710982244	26052	0.000382873976484637	0.333333333333333	4	-1.00645077506734	0.444444444444444
Uniq1655	4	197.184849697515	1394	0.000448920160623211	0.5	2	-0.768786025687666	0
Uniq118	31	51.6616572594895	11125	1.24871717682332e-08	0.845161290322581	7	0.735476869176888	0
Uniq1675	14	955.409109612902	35258	1.57810250360474e-05	0.637362637362637	1	0.00908496310759056	0
Uniq864	15	96.6905622698478	7178	0.000691283300581113	0.752380952380952	8	-0.139023042198333	0.124444444444444
Uniq200	31	8.38242970044447	159	1.25149643785376e-08	0.83010752688172	7	0.735476869176888	0
Uniq128	33	0.811206227358979	26	0.164828666089541	0.950757575757576	3	-0.36514837167018	0
Uniq230	3	0	0	1.3677329061519e-06	1	4	-0.771612260884961	0
Uniq2502	1	0	0	0.000381270198479175	0	2	-0.979845319211998	0
Uniq153	15	299.996040932415	15299	1.22354355343334e-06	0.714285714285714	1	0.123782622340921	0
Uniq210	34	628.537316700692	15261	0.165697482465782	0.901960784313726	3	-0.36514837167018	0.0570934256055364
Uniq620	33	0.779956227358979	25	0.165100645780074	0.952651515151515	3	-0.36514837167018	0
Uniq3094	1	0	0	7.67810754227938e-218	0	11	0	0
Uniq1066	26	776.576597062934	26991	8.82440092699985e-05	0.578461538461538	0	2.25305698001194	0
Uniq96	33	0.776932033810592	25	0.164961177250362	0.952651515151515	3	-0.36514837167018	0
Uniq2306	1	0	0	1.34056086522653e-05	0	0	-0.847480148444858	0
Uniq489	1	0	0	7.07133970947618e-07	0	6	-1.34990114630636	0
Uniq521	12	68.7625007119553	1356	4.82909517042781e-06	0.636363636363636	1	-0.220310355359071	0
Uniq147	11	0	0	3.38627972457844e-09	1	7	-1.36588561418565	0
Uniq87	34	0.84144816284285	27	0.169771439311979	0.951871657754011	3	0.730296743340352	0
Uniq184	34	0.875600166752918	28	0.169631710223167	0.950089126559715	3	0.730296743340352	0
Uniq166	32	50.5518670597288	11162	1.27379039042794e-08	0.826612903225806	7	0.840544993345015	0
Uniq163	27	136.32338603881	9686	0.000958197925925756	0.641025641025641	8	1.36242581354367	0.0713305898491086
Uniq91	12	574.900620651074	11882	1.60306651340956e-05	0.484848484848485	4	1.34193436675645	0
Uniq299	28	1.60975523184826	33	0.00136228838125618	0.94973544973545	2	0.919688322506995	0
Uniq48	31	75.5044625809967	16664	1.23140781186781e-08	0.823655913978495	7	0.735476869176888	0
Uniq425	14	356.735795141328	24793	1.41723893827543e-06	0.615384615384615	1	0.00908496310759056	0
Uniq771	7	211.285714285714	11621	7.01168148157139e-06	0.666666666666667	0	-0.103351237615227	0
Uniq1372	1	0	0	1.13371263856345e-06	0	1	-1.48198460692571	0
Uniq385	1	0	0	4.06428881475432e-07	0	4	-1.24128928924972	0
Uniq114	12	864.63618695165	18544	2.74862511197197e-05	0.409090909090909	4	1.34193436675645	0
Uniq356	35	5932.13747201044	72876	0.170282628102681	0.900840336134454	3	0.730296743340352	0.0555102040816327
Uniq1098	2	422	6717	1.25325420714649e-06	0	1	-1.36728694769238	0
Uniq698	10	1.69560994560995	11	0.0002174822975427	0.755555555555556	8	-0.639505994112334	0
Uniq110	32	0.779956227358979	25	0.160153916969058	0.949596774193548	3	-1.46059348668071	0
Uniq375	35	0.936206227358979	30	0.174418496139985	0.949579831932773	3	1.82574185835088	0
Uniq623	21	124.772513515511	9601	0.000834556532756082	0.738095238095238	8	0.611701385672668	0.090702947845805
Uniq3716	1	0	0	7.67810754227938e-218	0	11	0	0
Uniq2810	4	630.5	4946	0.000394130584890842	0.333333333333333	2	-0.768786025687666	0
Uniq595	31	217.170713762269	19441	0.00181017157956162	0.890322580645161	2	1.13074761603133	0
Uniq1097	1	0	0	0.000381270198479175	0	2	-0.979845319211998	0
Uniq1720	1	0	0	0.000381270198479175	0	2	-0.979845319211998	0
