richness,Shannon
NS_1w,4.83
NS_1w,4.9
NS_1w,4.95
NS_1w,4.96
NS_1w,4.99
NS_1w,5.03
NS_1w,5.14
NS_1w,5.15
NS_1w,5.18
NS,5.05
NS,5.12
NS,5.19
NS,5.34
NS,5.36
NS,5.39
NS,5.4
NS,5.4
NS,5.42
NS_SQR9,5.16
NS_SQR9,5.18
NS_SQR9,5.19
NS_SQR9,5.2
NS_SQR9,5.2
NS_SQR9,5.23
NS_SQR9,5.23
NS_SQR9,5.33
NS_SQR9,5.38
SS,4.84
SS,4.88
SS,4.89
SS,4.94
SS,4.97
SS,5.09
SS,5.35
SS,5.4
SS,5.45
SS_SQR9,4.28
SS_SQR9,4.46
SS_SQR9,4.51
SS_SQR9,4.68
SS_SQR9,4.7
SS_SQR9,4.72
SS_SQR9,4.8
SS_SQR9,4.85
SS_SQR9,4.91
