richness,Shannon
NS_1w,5.51
NS_1w,5.54
NS_1w,5.61
NS_1w,5.63
NS_1w,5.64
NS_1w,5.89
NS_1w,5.89
NS_1w,5.89
NS_1w,6.06
NS,5.72
NS,5.93
NS,6.33
NS,5.91
NS,6.17
NS,5.94
NS,6.12
NS,6.13
NS,5.93
NS_SQR9,5.46
NS_SQR9,4.83
NS_SQR9,5.46
NS_SQR9,4.71
NS_SQR9,5.56
NS_SQR9,4.77
NS_SQR9,5.2
NS_SQR9,5.18
NS_SQR9,5.96
SS,5.8
SS,5.59
SS,5.79
SS,5.21
SS,5.6
SS,5.75
SS,5.7
SS,6.16
SS,5.99
SS_SQR9,5.52
SS_SQR9,5.35
SS_SQR9,5.4
SS_SQR9,5.07
SS_SQR9,5.19
SS_SQR9,5.51
SS_SQR9,5.6
SS_SQR9,5.52
SS_SQR9,5.31
