Richness,Abundance,IAA,Siderophore
1,6.55,12.36,0.523529412
1,6.84,16.57,0.408823529
1,7.03,10.56,0.711764706
1,6.69,7.07,0.517647059
1,6.23,11.13,0.511764706
1,6.76,16.08,0.461764706
1,6.87,11.21,0.738235294
1,6.77,7.24,0.532352941
1,6.66,12.05,0.488235294
1,6.71,15.92,0.4
1,6.92,10.84,0.685294118
1,6.61,8.14,0.458823529
2,6.49,16.12,0.479411765
2,6.33,11.63,0.538235294
2,6.54,6.95,0.514705882
2,6.64,10.96,0.391176471
2,6.57,7.73,0.494117647
2,6.44,9.51,0.45
2,6.51,18.71,0.447058824
2,6.38,10.07,0.561764706
2,6.63,8.87,0.497058824
2,6.78,12.82,0.379411765
2,6.63,10.31,0.514705882
2,6.52,9.29,0.482352941
2,6.57,17.63,0.485294118
2,6.26,10.34,0.55
2,6.59,7.66,0.535294118
2,6.68,11.23,0.370588235
2,6.72,8.08,0.467647059
2,6.39,10.11,0.508823529
3,6.33,16.47,0.541176471
3,6.73,14.23,0.526470588
3,6.54,8.86,0.417647059
3,6.47,11.03,0.476470588
3,6.42,16.19,0.491176471
3,6.73,15.76,0.541176471
3,6.55,9.15,0.447058824
3,6.54,10.29,0.444117647
3,6.48,15.37,0.517647059
3,6.81,14.55,0.547058824
3,6.62,9.71,0.464705882
3,6.43,11.15,0.452941176
4,6.57,12.26,0.502941176
4,6.52,13.65,0.544117647
4,6.71,13.14,0.520588235
