Richness,Abundance,IAA,Siderophore
1,6.93,15.76,0.441176471
1,6.7,10.78,0.764705882
1,5.82,6.89,0.558823529
1,6.78,13.79,0.382352941
1,6.95,16.11,0.5
1,6.508,11.56,0.470588235
1,6.36,6.57,0.352941176
1,6.25,11.65,0.470588235
1,6.89,15.42,0.558823529
1,6.35,12.74,0.647058824
1,6.41,7.43,0.588235294
1,6.56,12.12,0.323529412
2,6.94,16.17,0.911764706
2,6.62,14.18,0.411764706
2,6.93,18.22,0.970588235
2,6.39,11.16,0.676470588
2,6.09,16.02,0.735294118
2,6.46,12.77,0.411764706
2,6.75,15.84,0.5
2,7.13,15.02,0.647058824
2,6.61,19.49,0.529411765
2,6.47,10.57,0.911764706
2,6.15,16.74,0.617647059
2,6.37,12.49,0.441176471
2,6.72,16.61,0.852941176
2,6.49,14.52,0.941176471
2,7.12,18.51,0.382352941
2,6.61,9.83,0.735294118
2,6.39,17.19,0.5
2,6.53,11.88,0.794117647
3,6.97,20.32,0.558823529
3,6.52,20.57,0.558823529
3,7.11,19.6,0.5
3,6.75,18.76,0.617647059
3,6.61,19.76,0.735294118
3,7.19,22.16,0.470588235
3,6.91,19.98,0.617647059
3,6.88,16.81,0.529411765
3,7.02,20.15,0.911764706
3,6.9,21.56,0.941176471
3,6.85,18.71,0.676470588
3,6.83,17.77,0.852941176
4,7.31,23.86,0.705882353
4,7.75,22.27,0.823529412
4,7.66,21.76,0.941176471
