""	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"
"SQR9a"	0.514555348901194	0.217049552054285	-0.0140178218664073	-0.301652445789632	0.0228310886084412	-0.0634571829563423
"SQR9b"	0.485027090593136	0.177481824433818	0.0214398065615921	-0.344573516978568	0.0463879360213225	0.0939681907738032
"SQR9c"	0.38324173923853	-0.0611411729328566	0.0328905915853748	-0.223532241916278	-0.0224910872377917	-0.0616472930888165
"SQR9d"	0.496789485672531	0.193932283173437	-0.0132967972855593	-0.298903827950607	0.0449200877366165	0.0580858407894471
"X1a"	0.118914380339165	-0.119188813550233	0.335907358219394	0.157261535535725	0.185386956485831	-0.142433215785599
"X1b"	0.168579653156382	0.105871761037634	0.311299783618553	0.026180688788944	-0.0872035996645588	0.169598466843216
"X1c"	0.20397873561555	-0.00309441235101688	0.206458039782366	-0.152082943411084	-0.342565664732227	-0.0942266818681065
"X1d"	0.142246713990538	-0.0869981895866383	0.425454474699404	-0.0755546532745722	-0.104299723335372	0.29533058380195
"X1e"	0.127896346361404	-0.127681590731776	0.450189678514105	-0.0271381527042355	0.122343268546129	-0.0434834402050447
"X2a"	0.456635742076661	0.154571618159204	0.0208895155089225	-0.0354876856799308	-0.0534980881242159	0.0373089607915108
"X2b"	0.464466807516639	0.164980654771144	0.0524619569293132	-0.209439593762215	0.0142359063347857	0.0118424850933014
"X2c"	0.425841578261243	0.174844306009226	0.0883119101276487	-0.236571249350045	-0.0225216664299224	0.00613035880266138
"X3a"	0.615315979451761	-0.0954739754015922	-0.106564165834654	0.0913996802334347	0.0653800210154582	0.0577352654893023
"X3b"	0.581668154626646	-0.178081587587811	-0.0951906974934353	0.087275380882459	0.0379709035112479	-0.00073753388928245
"X3c"	0.581085718239449	-0.162178168300371	-0.0777142720986297	0.10800979900937	-0.0795364368403597	-0.00068539721421134
"X5a"	0.489917541915965	0.223401211087721	-0.047827264750748	-0.336801996398785	0.0831024655841405	0.0204971545276977
"X5b"	0.472225120579575	0.171970460569971	-0.0552276553042016	-0.36926098559419	0.0346028976960335	-0.0610909068412651
"X5c"	0.520543258288026	0.141182910112406	-0.0248422563951129	-0.320981964200133	0.0205389477786249	-0.0185343558509296
"X7a"	0.109672348568024	-0.139921293005867	0.326244315856128	0.0609618364104409	0.168146687368231	0.085055802167745
"X7b"	0.166495694733085	-0.143146328254436	0.427425758475846	-0.0736092493386434	-0.0432328358124082	0.19761201199061
"X7c"	0.0936945008792864	-0.201057124202332	0.469979693651399	-0.0740121111896459	-0.096217344787278	0.188705247844382
