	PC1	PC2	PC3	PC4	PC5	PC6	group1	group2	group3
3a	-0.615315979	-0.095473975	-0.106564166	-0.09139968	-0.065380021	-0.057735265	a	A	3
3b	-0.581668155	-0.178081588	-0.095190697	-0.087275381	-0.037970904	0.000737534	a	A	3
3c	-0.581085718	-0.162178168	-0.077714272	-0.108009799	0.079536437	0.000685397	a	A	3
9a	-0.548344456	-0.002802802	-0.001927611	-0.099406218	-0.174413957	-0.041015388	a	B	9
9b	-0.629211554	-0.05101484	-0.116014985	-0.080111762	-0.070709387	-0.073214146	a	B	9
9c	-0.592242372	-0.036567392	-0.102321947	-0.155109493	-0.153947434	-0.038963456	a	B	9
10a	-0.616543028	-0.036402367	-0.037125791	-0.098074474	-0.086119541	0.04186041	a	C	10
10b	-0.56873764	-0.164737731	-0.110535971	-0.114512592	0.038940741	-0.090307548	a	C	10
10c	-0.5327962	-0.097592993	-0.162297015	-0.154256436	0.066565648	-0.093418263	a	C	10
14a	-0.593851898	-0.082134719	-0.071410158	-0.121035207	-0.093736813	-0.031404945	a	D	14
14b	-0.542444661	-0.168880731	-0.041171983	-0.091832363	0.144528085	0.012555085	a	D	14
14c	-0.537172757	-0.071990605	-0.08654573	0.039424688	0.072452501	0.015794966	a	D	14
19a	-0.414094927	-0.167257875	0.078067085	-0.040222171	-0.001682629	0.06835048	a	E	19
19b	-0.560485959	-0.14225768	-0.114849707	-0.091786912	0.088419942	0.031185773	a	E	19
19c	-0.56879856	-0.061239839	-0.139340627	-0.044099232	0.173079918	-0.053699623	a	E	19
20a	-0.619790052	-0.057949683	-0.10132601	-0.113760838	-0.147664029	-0.049965432	a	F	20
20b	-0.577675253	-0.096964962	-0.148842442	-0.080908236	-0.001950398	-0.09408664	a	F	20
20c	-0.563230235	-0.097369656	-0.07742819	-0.167377772	-0.07956284	-0.079839762	a	F	20
39a	-0.396517944	-0.232468371	8.14E-05	-0.031952292	0.212546194	0.064905482	a	G	39
39b	-0.422448293	-0.305461524	0.062536093	0.014156144	0.227880972	0.094278027	a	G	39
39c	-0.386069209	-0.275205125	0.038219249	0.052431143	0.306481739	0.106596557	a	G	39
47a	-0.585680262	-0.104736506	-0.07745	-0.087791903	-0.123789604	0.018956351	a	H	47
47b	-0.584266302	-0.184546234	-0.073884644	-0.100093603	0.024806521	0.000249712	a	H	47
47c	-0.554910518	-0.210456938	-0.121300993	-0.10287082	0.055713544	0.037484898	a	H	47
48a	-0.601105491	-0.075780225	-0.093564629	-0.139469229	-0.155383367	-0.016004996	a	I	48
