Richness,Abundance,IAA,Siderophore
1,6.58,11.42,0.4676
1,6.94,13.91,0.3464
1,7.01,15.09,0.5618
1,6.16,12.53,0.5289
1,6.73,7.09,0.5572
1,6.75,7.44,0.5739
1,6.48,10.33,0.3755
1,6.79,16.39,0.6629
1,6.66,13.56,0.5983
1,6.51,9.54,0.6821
1,6.17,10.32,0.513
1,6.6,12.36,0.6823
1,6.71,15.93,0.4724
1,6.77,7.27,0.3934
1,6.85,7.71,0.764
1,6.68,7.04,0.5204
1,6.91,8.73,0.3406
1,6.3,11.59,0.6372
1,6.46,8.61,0.6278
1,6.22,9.44,0.593
1,6.86,6.68,0.5786
1,6.39,6.51,0.5244
1,6.44,13.45,0.7381
1,6.53,8.09,0.7536
1,6.69,15.99,0.3596
1,6.65,9.6,0.572
1,6.49,10.67,0.6847
1,6.63,12.43,0.4886
1,7.51,12.79,0.7227
1,6.56,11.54,0.3399
1,7.46,14.2,0.6279
1,7.49,14.43,0.3979
1,7.59,8.31,0.7601
1,6.95,10.62,0.5689
1,6.97,7.93,0.3511
1,6.19,9.95,0.5279
1,6.61,10.99,0.3522
1,7.53,15.51,0.509
1,7.58,12.28,0.5267
1,6.76,16.78,0.7119
1,7.32,7.95,0.727
1,7.54,15.74,0.6892
1,6.33,9.69,0.3363
1,7.29,15.77,0.3824
1,7.6,10.5,0.7256
1,6.27,9.18,0.7078
1,6.67,12.18,0.5628
1,6.11,9.11,0.6212
1,7.52,10.89,0.7286
1,7.45,7.05,0.5633
1,7.7,13.54,0.3893
1,7.19,18.19,0.4698
1,6.92,13.87,0.4485
1,6.62,14.1,0.5175
1,6.87,11.43,0.7033
1,7.71,11.15,0.7021
1,7.05,6.8,0.3703
1,7.74,13.09,0.5675
1,6.45,12.47,0.4905
1,6.42,9.77,0.4603
2,6.23,12.68,0.7754
2,7.66,21.18,0.5967
2,7.77,12.44,0.4204
2,7.14,9.55,0.4041
2,7.7,17.63,0.6406
2,6.56,21.36,0.4914
2,7.52,18.23,0.6271
2,7.24,15.65,0.7088
2,7.91,11.86,0.6801
2,6.57,8.08,0.3853
2,6.76,13.51,0.4335
2,6.82,9.05,0.7383
2,6.93,7.89,0.3507
2,6.26,9.84,0.3601
2,7.75,21.53,0.4639
2,7.31,10.14,0.6592
2,7.64,10.58,0.7908
2,6.89,17.93,0.7169
2,6.84,15.75,0.3335
2,6.47,18.66,0.7205
2,7.72,11.9,0.7766
2,7.8,16.07,0.7275
2,7.12,17.66,0.7447
2,7.49,10.21,0.5225
2,6.52,15.13,0.5779
2,7.18,12.63,0.71
2,6.51,15.47,0.3373
2,6.72,19.27,0.753
2,7.63,13.04,0.5086
2,7.42,15.97,0.4747
4,7.42,20.12,0.7515
4,7.65,8.32,0.5409
4,7.35,18.52,0.8169
4,6.71,8.52,0.4986
4,7.26,10.29,0.4571
4,7.93,22.89,0.6866
4,6.73,23.54,0.6984
4,7.29,15.08,0.8355
4,7.4,14.41,0.4683
4,7.04,17.54,0.8022
4,6.93,17.84,0.7132
4,7.34,16.68,0.3802
4,6.92,23.31,0.7347
4,6.78,13.15,0.8642
4,7.15,19.67,0.601
4,7.21,7.24,0.7133
4,6.97,9.56,0.4855
4,6.7,21.81,0.4093
4,6.59,23.45,0.6883
4,7.83,21.31,0.3272
4,8.26,14.99,0.5135
4,6.38,13.85,0.6908
4,6.48,21.94,0.7034
4,6.51,13.98,0.6947
4,7.72,21.56,0.3583
4,7.36,15.06,0.5907
4,8.03,22.52,0.7305
4,6.91,19.64,0.7367
4,7.13,13.32,0.5104
4,6.45,23.42,0.5992
8,6.84,25.16,0.6573
8,6.36,21.65,0.903
8,6.32,23.7,0.7526
8,6.34,10.58,0.5273
8,6.85,9.95,0.3623
8,8.27,16.33,0.8426
8,7.58,24.95,0.6106
8,6.92,26.28,0.7582
8,6.46,21.69,0.5382
8,7.54,18.94,0.4229
8,8.31,6.95,0.5539
8,7.82,12.7,0.8105
8,7.36,23.47,0.3552
8,8.02,14.3,0.5478
8,8.04,12.88,0.3018
8,7.29,7.6,0.3229
8,7.45,15.94,0.5338
8,7.28,22.66,0.5249
8,7.31,24.13,0.5732
8,7.65,15.69,0.6907
8,6.77,8.46,0.9251
8,6.73,26.15,0.7817
8,7.42,25.34,0.3091
8,7.15,16.41,0.6754
8,7.61,16.71,0.483
8,7.97,20.23,0.7365
8,8.17,14.57,0.6608
8,7.41,16.22,0.9234
8,6.89,13.12,0.6195
8,8.19,16.5,0.3131
